ID,batter,non-striker,batsman_run
1304070,R Parag,JDS Neesham,13
1304070,R Parag,SO Hetmyer,5
1304070,SO Hetmyer,HE van der Dussen,9
1304070,SO Hetmyer,R Parag,20
1304070,SV Samson,HE van der Dussen,8
1304070,SV Samson,JC Buttler,3
1304070,Shubman Gill,HH Pandya,12
1304070,Shubman Gill,MS Wade,0
1304070,Shubman Gill,V Shankar,1
1304070,V Shankar,Shubman Gill,2
1304070,YS Chahal,M Prasidh Krishna,5
1304071,AD Russell,Aman Hakim Khan,0
1304071,AD Russell,N Rana,26
1304071,AD Russell,PJ Cummins,7
1304071,AD Russell,UT Yadav,16
1304071,AJ Finch,VR Iyer,7
1304071,AK Markram,N Pooran,33
1304071,AK Markram,RA Tripathi,35
1304071,Abhishek Sharma,KS Williamson,3
1304071,Aman Hakim Khan,AD Russell,5
1304071,KS Williamson,RA Tripathi,17
1304071,N Pooran,AK Markram,5
1304071,N Rana,AD Russell,11
1304071,N Rana,SP Jackson,26
1304071,N Rana,SS Iyer,17
1304071,PJ Cummins,AD Russell,3
1304071,RA Tripathi,AK Markram,59
1304071,RA Tripathi,KS Williamson,12
1304071,SP Jackson,N Rana,7
1304071,SP Narine,SS Iyer,6
1304071,SS Iyer,N Rana,19
1304071,SS Iyer,VR Iyer,9
1304071,UT Yadav,AD Russell,1
1304071,VR Iyer,AJ Finch,2
1304071,VR Iyer,SS Iyer,4
1304072,D Brevis,Ishan Kishan,31
1304072,DJ Hooda,KL Rahul,15
1304072,FA Allen,KA Pollard,8
1304072,Ishan Kishan,D Brevis,4
1304072,Ishan Kishan,RG Sharma,9
1304072,Ishan Kishan,SA Yadav,0
1304072,JD Unadkat,KA Pollard,14
1304072,KA Pollard,FA Allen,18
1304072,KA Pollard,JD Unadkat,4
1304072,KA Pollard,JJ Bumrah,0
1304072,KA Pollard,SA Yadav,3
1304072,KH Pandya,KL Rahul,1
1304072,KL Rahul,DJ Hooda,22
1304072,KL Rahul,KH Pandya,0
1304072,KL Rahul,MK Pandey,33
1304072,KL Rahul,MP Stoinis,21
1304072,KL Rahul,Q de Kock,27
1304072,M Ashwin,KA Pollard,6
1304072,MK Pandey,KL Rahul,38
1304072,MP Stoinis,KL Rahul,10
1304072,Q de Kock,KL Rahul,24
1304072,RG Sharma,Ishan Kishan,6
1304072,SA Yadav,Ishan Kishan,0
1304072,SA Yadav,KA Pollard,3
1304072,SA Yadav,Tilak Varma,34
1304072,TS Mills,JJ Bumrah,0
1304072,Tilak Varma,SA Yadav,26
1304073,AR Patel,Kuldeep Yadav,7
1304073,AR Patel,SN Thakur,3
1304073,Anuj Rawat,F du Plessis,0
1304073,DA Warner,MR Marsh,34
1304073,DA Warner,PP Shaw,32
1304073,F du Plessis,Anuj Rawat,4
1304073,F du Plessis,V Kohli,4
1304073,GJ Maxwell,SS Prabhudessai,29
1304073,GJ Maxwell,Shahbaz Ahmed,7
